1943,2.24,1.99,2.41,2.34,2.22,2.06,1.31,1.40,1.42,1.55,0.91,0.69
1944,0.75,1.09,1.21,1.81,2.63,2.93,-0.17,-0.97,-1.56,-1.62,-0.94,-1.05
1945,-1.39,-1.31,0.66,-0.21,-0.34,-0.36,-0.79,-0.24,-0.86,-0.33,-0.70,-0.40
1946,-0.69,-1.26,-1.59,-2.08,-2.65,-3.38,-3.92,-3.58,-3.86,1.26,2.23,2.75
1947,-0.16,-0.72,-1.45,-1.57,-1.17,-1.16,-1.70,-0.91,-1.59,-1.52,-1.61,-0.91
1948,-1.48,-1.29,-0.88,-0.90,-1.18,-0.91,-1.53,-2.03,-1.96,-1.85,-2.15,0.01
1949,0.46,0.45,-0.35,-0.66,0.13,0.84,-0.64,-1.26,-1.38,-0.95,-1.35,-0.89
1950,-0.94,-1.24,-1.68,-2.39,-2.83,-3.30,-3.04,-3.36,-3.20,-3.66,-3.76,-4.20
1951,-4.34,-4.66,-4.77,-4.22,-4.06,-4.70,-5.09,0.93,0.87,0.73,0.62,1.09
1952,1.21,0.59,1.16,1.56,1.46,1.96,-0.01,-0.48,-0.57,-1.29,-1.22,-0.95
1953,-1.43,-2.08,-2.47,-2.67,-3.11,-3.55,-3.68,-3.34,-3.80,-3.44,-3.71,-3.61
1954,-3.26,-3.03,-2.30,-2.33,-2.37,-2.09,-1.91,-2.31,-1.71,-1.99,-2.37,-2.27
1955,-1.92,-1.96,-2.39,-2.67,-3.01,-3.15,-2.85,-1.94,-2.34,-2.42,-2.07,-2.20
1956,-2.17,-2.55,-3.08,-3.50,-3.82,-4.18,-3.89,-4.32,-4.63,-4.72,-4.77,-4.95
1957,-3.81,-3.69,-3.83,-3.39,-2.59,-1.98,-2.15,-2.08,-2.52,1.84,2.05,1.99
1958,1.56,2.12,3.51,3.77,4.69,5.18,4.79,3.73,4.27,-0.19,-0.25,-0.94
1959,-1.61,-0.71,-1.23,-1.78,-2.15,-2.57,-2.75,-2.33,-2.51,-2.48,-2.21,-1.71
1960,-1.37,-1.12,-1.29,-1.03,-1.09,-1.02,-1.71,-2.09,-1.82,-1.27,-0.78,-1.08
1961,-1.19,-1.85,-1.50,-1.55,-1.92,-2.47,-2.52,1.08,1.21,0.92,1.02,0.71
1962,0.51,1.42,0.04,-0.43,0.02,0.41,-0.36,-1.02,0.41,-0.32,-0.73,-1.14
1963,-1.30,-1.29,-1.42,-0.92,-1.40,-1.70,-2.35,1.28,1.78,-0.27,-0.22,-0.82
1964,-1.27,-1.90,-1.68,-1.04,-0.56,-0.92,-1.36,-1.60,-1.92,-2.44,-2.22,-2.34
1965,-2.76,-2.64,0.53,2.35,2.61,3.12,3.11,2.84,2.63,2.15,3.08,4.00
1966,3.60,3.43,2.53,2.19,2.16,2.10,1.84,1.11,1.02,1.07,0.93,1.97
1967,2.16,1.42,0.85,1.12,1.22,1.49,1.39,1.15,2.62,1.71,1.94,2.33
1968,-0.19,-0.31,-0.41,0.05,0.08,0.33,0.30,0.56,-0.50,-0.94,-1.29,-1.24
1969,1.23,2.78,2.38,1.98,2.43,2.82,2.93,-0.47,-0.45,-0.72,-0.74,-1.30
1970,-1.75,-2.07,-1.67,-1.63,-2.35,-2.72,-2.35,-1.86,-1.83,-2.09,-1.47,-1.35
1971,-1.78,-1.50,-1.94,-1.87,0.80,-0.25,-0.75,1.29,0.60,1.11,0.86,1.40
1972,-0.58,-1.31,-2.26,-2.67,-3.28,-2.61,-3.25,0.54,1.49,2.75,3.62,3.44
1973,3.82,4.15,5.08,4.71,5.12,5.73,5.24,-0.22,-0.75,-1.05,-0.84,-1.36
1974,-0.68,-1.26,-1.76,-1.91,-2.53,-3.12,-2.80,-2.71,-3.07,1.19,-0.10,-0.46
1975,-0.87,-0.96,0.55,0.83,1.11,1.12,1.69,1.61,-0.33,-0.49,-0.55,-0.86
1976,-1.61,-0.98,-1.29,-0.89,-1.35,-1.84,-1.96,-2.36,-2.18,-1.49,-1.87,-2.36
1977,-2.62,-3.28,-3.49,-4.20,-2.90,-3.33,-3.55,-3.14,-2.75,-2.97,-3.17,-0.05
1978,1.19,1.74,3.47,4.13,4.46,5.11,4.66,3.65,3.53,2.86,3.80,3.99
1979,4.74,4.86,5.39,4.79,4.89,4.92,4.36,4.42,3.24,2.38,1.93,1.18
1980,3.33,5.03,5.05,4.67,5.10,5.56,5.67,5.09,5.12,4.82,-0.45,-1.10
1981,-1.69,-2.08,-0.91,-0.51,-0.23,-0.42,-0.61,-0.75,-0.83,-0.65,-0.78,-1.39
1982,-0.99,-1.26,0.63,-0.14,-0.36,-0.45,-0.48,1.04,1.90,1.59,2.54,3.11
1983,3.23,3.26,4.60,4.97,4.98,5.40,5.50,6.50,6.33,5.79,5.81,5.42
1984,-0.47,-1.01,-1.21,-1.42,-2.21,-2.53,0.95,1.24,1.14,1.21,1.01,1.95
1985,1.99,-0.30,-0.40,-0.52,-0.54,-0.61,-0.67,-1.47,0.42,0.62,1.58,-0.27
1986,-0.86,-0.86,-0.66,-0.53,-0.94,-1.35,-1.54,0.19,0.96,-0.07,-0.29,-0.73
1987,-0.64,-0.78,-0.57,-0.87,-0.73,-0.89,-0.63,-0.26,-0.86,1.05,2.09,1.72
1988,1.85,1.23,0.67,2.44,2.63,3.30,2.94,3.15,-0.49,-1.18,-1.25,-0.99
1989,-1.01,-1.19,-1.65,-2.55,-2.75,-3.25,-3.79,-3.01,-3.24,-3.12,-3.48,-3.85
1990,-3.91,-3.54,-3.77,-3.60,-3.66,-3.85,-3.79,-3.42,-2.79,-2.89,-2.70,-2.67
1991,-2.72,-3.13,-2.04,-2.13,-2.16,-2.05,-2.33,-2.51,0.60,0.57,-0.17,-0.37
1992,-0.77,0.76,2.60,2.02,2.54,2.58,2.36,2.17,1.44,1.80,1.13,1.46
1993,3.87,5.45,5.00,4.35,4.32,4.36,-0.39,-0.12,-0.73,-0.57,-0.29,-0.52
1994,-1.12,0.55,0.18,0.83,0.83,-0.22,-0.90,-1.20,-1.30,0.19,0.68,0.65
1995,2.03,1.78,3.32,3.62,4.50,5.86,5.87,-0.11,-0.28,-0.88,-1.09,-1.54
1996,-2.00,-1.94,-2.27,-2.87,-3.43,-4.17,-4.23,-4.74,0.02,0.21,0.82,0.84
1997,2.07,1.74,0.85,0.66,0.69,0.49,0.13,0.67,2.61,2.08,1.83,1.28
1998,0.96,2.16,2.14,2.70,3.08,3.97,4.88,4.19,5.51,5.67,5.14,-0.64
1999,-1.21,-1.62,-2.36,-1.94,-2.56,-2.46,-1.87,-1.61,-1.97,-2.48,-2.99,-3.39
2000,-3.49,-2.29,-2.10,-2.36,-2.72,-3.11,-3.74,-3.38,-3.59,-2.05,-1.86,-2.28
2001,-2.15,-1.70,-1.55,-1.14,-1.48,-1.82,-2.24,-1.93,-2.48,-2.85,-2.93,-2.61
2002,-3.09,-3.61,-3.91,-4.76,-5.41,-6.09,-6.61,-6.92,-5.78,-5.12,-4.58,-4.35
2003,-4.83,-3.79,-3.46,-2.68,-2.68,-2.98,-3.61,-3.67,-3.67,-4.08,-3.67,-3.01
2004,-3.11,-1.50,-2.20,-1.66,-1.65,-1.69,-2.38,-2.38,-2.42,2.64,3.30,3.79
2005,5.60,6.37,6.33,6.84,6.91,7.48,6.98,6.83,-0.46,0.48,-0.53,-0.97
2006,-1.39,-2.06,-1.08,-0.88,-1.45,-1.98,-2.03,-2.69,-2.62,-1.65,-2.12,-2.17
2007,-2.59,-2.97,-3.55,-3.70,-4.66,-5.31,-4.95,0.73,1.03,-0.62,-1.13,1.00
2008,1.39,1.85,-0.52,-0.84,-0.58,-0.32,-0.28,-0.73,-1.35,-1.42,0.14,0.85
2009,0.82,1.10,-0.65,-0.74,-0.94,-1.11,-1.77,-2.46,-2.82,-3.01,-3.22,0.42
2010,1.32,2.12,2.08,1.96,2.11,2.70,2.04,2.01,0.98,1.98,1.80,4.23
2011,3.56,3.61,3.11,3.17,3.67,4.19,-0.36,-1.36,-1.28,-0.66,-0.90,-1.34
2012,-1.75,-1.73,-2.05,-2.23,-3.29,-4.12,-3.79,-3.20,-2.81,-1.50,-2.07,-1.47
2013,-1.70,-2.07,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
